#OAYear	Julian day	θ (deg)	S(1000) (VEM)	E (EeV)	RA (deg)	Dec (deg)	l (deg)	b (deg)
2004	125	47.7	245	65	267.1	−11.4	15.5	8.4
2004	142	59.3	205	79	199.7	−34.9	−50.7	27.7
2004	282	26.5	329	64	208.1	−60.3	−49.6	1.7
2004	339	44.7	324	83	268.6	−60.9	−27.6	−17.0
2004	343	23.4	321	60	224.5	−44.2	−34.3	13.0
2005	54	35.0	374	81	17.4	−37.9	−75.6	−78.6
2005	63	54.4	214	68	331.2	−1.2	58.7	−42.4
2005	81	17.1	309	55	199.1	−48.5	−52.8	14.1
2005	295	15.4	310	55	332.9	−38.2	4.2	−54.9
2005	306	40.0	248	56	315.4	−0.4	48.8	−28.8
2005	306	14.2	444	80	114.6	−43.0	−103.8	−10.3
2006	35	30.8	396	82	53.7	−7.8	−165.9	−46.9
2006	55	37.9	264	58	267.7	−60.6	−27.5	−16.5
2006	81	34.0	367	78	201.1	−55.3	−52.3	7.3
2006	185	59.0	211	80	350.1	9.5	88.7	−47.2
2006	296	54.0	207	66	53.0	−4.2	−170.7	−45.4
2006	299	26.0	344	66	200.9	−45.3	−51.2	17.2
2007	13	14.3	753	142	192.8	−21.1	−57.2	41.8
2007	51	39.2	255	57	331.7	2.9	63.5	−40.3
2007	69	30.4	334	68	200.2	−43.3	−51.4	19.3
2007	84	17.2	341	61	143.2	−18.3	−109.3	23.8
2007	145	23.9	400	77	47.6	−12.8	−164.0	−54.5
2007	186	44.8	254	64	219.4	−53.8	−41.7	5.8
2007	193	17.9	470	87	325.5	−33.4	12.2	−49.0
2007	221	35.3	318	68	212.7	−3.2	−21.8	54.1
2007	234	33.3	366	77	185.3	−27.9	−65.2	34.5
2007	235	42.6	275	66	105.9	−22.9	−125.2	−7.7
2007	295	21.1	389	73	325.7	−15.6	37.8	−44.8
2007	343	30.9	447	93	81.5	−7.4	−150.1	−22.3
2007	345	51.5	212	62	314.9	−53.4	−15.5	−40.4
2008	13	17.0	363	66	252.8	−22.6	−1.8	13.7
2008	18	50.1	389	115	352.7	−20.9	47.4	−70.5
2008	36	28.4	367	73	186.9	−63.6	−59.7	−0.9
2008	51	20.7	314	58	201.9	−54.9	−51.8	7.6
2008	52	31.7	308	63	82.8	−15.8	−141.2	−24.7
2008	87	39.0	355	82	220.5	−42.9	−36.4	15.5
2008	118	36.2	324	70	110.2	−0.9	−142.9	6.2
2008	192	20.4	302	55	306.7	−55.3	−17.3	−35.4
2008	205	53.0	183	56	358.9	15.5	103.6	−45.3
2008	264	44.4	384	99	116.0	−50.6	−96.4	−12.9
2008	268	49.8	415	123	287.6	1.5	36.4	−3.6
2008	282	28.9	309	61	202.3	−16.1	−44.0	45.8
2008	296	42.8	293	71	15.6	−17.0	137.7	−79.6
2008	322	28.3	345	68	25.1	−61.2	−67.3	−54.9
2008	328	47.2	250	66	126.5	5.3	−140.8	23.4
2008	337	31.0	348	71	275.5	−14.4	16.8	−0.1
2008	362	31.4	406	84	209.6	−31.3	−40.7	29.4
2009	7	59.3	152	57	286.3	−37.6	−0.5	−18.7
2009	30	32.3	346	72	303.9	−16.7	26.6	−25.9
2009	32	56.2	199	67	0.0	−15.4	75.0	−73.3
2009	35	52.8	191	57	227.1	−85.2	−54.1	−23.2
2009	39	42.4	291	70	147.2	−18.3	−106.5	26.6
2009	47	20.8	311	57	78.3	−16.0	−142.9	−28.8
2009	51	7.1	377	65	203.7	−33.1	−46.7	28.9
2009	78	8.2	350	61	26.7	−29.1	−134.6	−77.6
2009	78	27.3	424	84	122.9	−54.6	−90.7	−11.3
2009	80	44.5	263	66	170.1	−27.1	−80.9	31.5
2009	80	18.4	388	71	251.4	−35.8	−13.0	6.3
2009	160	40.9	242	56	43.8	−25.5	−143.2	−62.3
2009	168	27.0	294	57	153.6	−8.6	−109.4	37.9
2009	191	26.9	339	66	294.5	−20.5	19.1	−19.2
2009	212	52.7	188	57	122.6	−78.5	−68.8	−22.8
2009	219	40.2	252	57	29.4	−8.6	166.1	−65.8
2009	225	26.2	298	57	90.5	−21.3	−132.8	−20.0
2009	262	22.4	341	64	50.1	−25.9	−140.5	−56.7
2009	282	47.2	231	61	47.7	11.5	168.7	−38.6
2009	288	34.2	310	66	217.9	−51.5	−41.6	8.3
2009	304	30.1	304	61	177.7	−5.0	−83.8	54.7
2009	326	31.4	283	57	5.4	−5.6	103.3	−67.3
